reaction_uid,model_reaction_id,reaction_name,model_equation,is_underground_rxn_prefix,crossref_status,metanetx_reaction_id,kegg_reaction_id,bigg_reaction_id,sbo_id,rxndb_direct_match,rxndb_id,rxndb_template_id,rxndb_ec_number,rxndb_similarity,confidence_status,evidence_tier,training_role,usable_as_first_pass_training_label
MODEL_RXN:0000084,r_0102,acetyl-CoA C-acyltransferase (myristoyl-CoA),s_0253 + s_0534 --> s_0378 + s_1179,False,has_external_crossref,MNXR95203,R03991,ACACT7p,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000085,r_0103,acetyl-CoA C-acetyltransferase,2 s_0373 <=> s_0367 + s_0529,False,has_external_crossref,MNXR95194,R00238,ACACT1r,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000086,r_0104,acetyl-CoA C-acetyltransferase,2 s_0376 <=> s_0370 + s_0532,False,has_external_crossref,MNXR95194,R00238,ACACT1m,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000087,r_0105,acetyl-CoA C-acyltransferase (lauroyl-CoA),s_0257 + s_0534 --> s_0378 + s_1076,False,has_external_crossref,MNXR95201,R03858,ACACT6p,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000088,r_0106,acetyl-CoA C-acyltransferase (octanoyl-CoA),s_0239 + s_0534 --> s_0378 + s_1258,False,has_external_crossref,MNXR95198,R03778,ACACT4p,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000089,r_0107,acetyl-CoA C-acyltransferase (decanoyl-CoA),s_0247 + s_0534 --> s_0378 + s_0605,False,has_external_crossref,MNXR95200,R04742,,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000090,r_0108,acetyl-Coa carboxylase,s_0376 + s_0437 + s_0447 --> s_0397 + s_0799 + s_1104 + s_1326,False,has_external_crossref,MNXR95219,R00742,ACCOACrm,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000091,r_0109,"acetyl-CoA carboxylase, reaction",s_0373 + s_0434 + s_0445 --> s_0394 + s_0794 + s_1101 + s_1322,False,has_external_crossref,MNXR95219,R00742,ACCOAC,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000092,r_0111,acetyl-CoA hydrolase,s_0376 + s_0807 --> s_0365 + s_0532 + s_0799,False,has_external_crossref,MNXR95363,R00227,ACOAHim,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000093,r_0112,acetyl-CoA synthetase,s_0362 + s_0434 + s_0529 --> s_0373 + s_0423 + s_0633,False,has_external_crossref,MNXR95413,R00235,ACS,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000094,r_0113,acetyl-CoA synthetase,s_0365 + s_0437 + s_0532 --> s_0376 + s_0424 + s_0636,False,has_external_crossref,MNXR95413,R00235,ACSm,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000095,r_0114,acetyl-CoA synthetase nuclear,s_0366 + s_0438 + s_0533 --> s_0377 + s_0425 + s_0637,False,has_external_crossref,MNXR95413,R00235,,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000096,r_0115,acetylglutamate kinase,s_0437 + s_1192 --> s_0397 + s_1191,False,has_external_crossref,MNXR95256,R02649,ACGKm,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000097,r_0116,acid phosphatase (secreted),s_0715 + s_0805 --> s_1324 + s_1406,False,has_external_crossref,MNXR95393,R00548,ACP1e,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
