pool,model_reaction_id,reaction_uid,fallback_reason,orfs,model_equation
reference_only,r_1801,MODEL_RXN:0001246,fallback_equation,,s_0740 <=> s_0739
reference_only,r_1802,MODEL_RXN:0001247,fallback_equation,,s_0739 <=> s_0742
reference_only,r_1806,MODEL_RXN:0001250,fallback_equation,,s_0755 --> 
reference_only,r_1807,MODEL_RXN:0001251,fallback_equation,,s_0751 --> 
reference_only,r_1808,MODEL_RXN:0001252,fallback_equation,,s_0766 --> 
reference_only,r_1809,MODEL_RXN:0001253,fallback_equation,,s_0767 <=> s_0770
reference_only,r_1810,MODEL_RXN:0001254,fallback_equation,,s_1004 --> 
reference_only,r_1812,MODEL_RXN:0001256,fallback_equation,,s_0775 <=> s_0777
reference_only,r_1813,MODEL_RXN:0001257,fallback_equation,,s_0776 <=> s_0775
reference_only,r_1814,MODEL_RXN:0001258,fallback_equation,,s_0776 --> 
reference_only,r_1815,MODEL_RXN:0001259,fallback_equation,,s_0780 --> 
reference_only,r_1817,MODEL_RXN:0001261,fallback_equation,,s_0779 <=> s_0781
reference_only,r_1818,MODEL_RXN:0001262,fallback_equation,,s_0788 --> 
reference_only,r_1819,MODEL_RXN:0001263,fallback_equation,,s_0787 <=> s_0789
reference_only,r_1820,MODEL_RXN:0001264,fallback_equation,,s_0791 --> 
reference_only,r_1821,MODEL_RXN:0001265,fallback_equation,,s_0434 + s_0790 --> s_0394 + s_0782 + s_0794
reference_only,r_1822,MODEL_RXN:0001266,fallback_equation,,s_0790 --> s_0792
reference_only,r_1823,MODEL_RXN:0001267,fallback_equation,,s_0791 --> s_0790
reference_only,r_1824,MODEL_RXN:0001268,fallback_equation,,s_0796 --> s_0794
reference_only,r_1825,MODEL_RXN:0001269,fallback_equation,,s_0794 <=> s_0795
reference_only,r_1826,MODEL_RXN:0001270,fallback_equation,,s_0794 <=> s_0797
reference_only,r_1827,MODEL_RXN:0001271,fallback_equation,,s_0794 <=> s_0798
reference_only,r_1829,MODEL_RXN:0001272,fallback_equation,,s_0794 <=> s_0800
reference_only,r_1830,MODEL_RXN:0001273,fallback_equation,,s_0794 <=> s_0801
reference_only,r_1831,MODEL_RXN:0001274,fallback_equation,,s_0794 <=> s_0802
reference_only,r_1832,MODEL_RXN:0001275,fallback_equation,,s_0796 <=> 
reference_only,r_1833,MODEL_RXN:0001276,fallback_equation,,s_0816 <=> s_0817
reference_only,r_1839,MODEL_RXN:0001282,fallback_equation,,s_0837 <=> s_0839
reference_only,r_1840,MODEL_RXN:0001283,fallback_equation,,s_0218 <=> s_0221
reference_only,r_1841,MODEL_RXN:0001284,fallback_equation,,s_0844 --> 
reference_only,r_1842,MODEL_RXN:0001285,fallback_equation,,s_0844 <=> s_0843
reference_only,r_1843,MODEL_RXN:0001286,fallback_equation,,s_0851 --> 
reference_only,r_1844,MODEL_RXN:0001287,fallback_equation,,s_0850 <=> s_0852
reference_only,r_1845,MODEL_RXN:0001288,fallback_equation,,s_0850 <=> s_0851
reference_only,r_1846,MODEL_RXN:0001289,fallback_equation,,s_0853 <=> s_0854
reference_only,r_1847,MODEL_RXN:0001290,fallback_equation,,s_0857 --> 
reference_only,r_1848,MODEL_RXN:0001291,fallback_equation,,s_0857 --> s_0856
reference_only,r_1849,MODEL_RXN:0001292,fallback_equation,,s_1158 <=> s_1159
reference_only,r_1850,MODEL_RXN:0001293,fallback_equation,,s_0434 + s_0856 --> s_0394 + s_0794 + s_0849
reference_only,r_1861,MODEL_RXN:0001304,fallback_equation,,s_0925 <=> 
reference_only,r_1862,MODEL_RXN:0001305,fallback_equation,,s_0928 --> 
reference_only,r_1863,MODEL_RXN:0001306,fallback_equation,,s_0929 <=> s_0930
reference_only,r_1864,MODEL_RXN:0001307,fallback_equation,,s_0929 <=> s_0931
reference_only,r_1865,MODEL_RXN:0001308,fallback_equation,,s_0930 --> 
reference_only,r_1866,MODEL_RXN:0001309,fallback_equation,,s_0933 --> 
reference_only,r_1867,MODEL_RXN:0001310,fallback_equation,,s_0936 --> 
reference_only,r_1868,MODEL_RXN:0001311,fallback_equation,,s_0932 <=> s_0933
reference_only,r_1869,MODEL_RXN:0001312,fallback_equation,,s_0932 <=> s_0934
reference_only,r_1870,MODEL_RXN:0001313,fallback_equation,,s_0938 --> 
reference_only,r_1871,MODEL_RXN:0001314,fallback_equation,,s_0117 + s_0799 + s_0807 --> s_0954
reference_only,r_1872,MODEL_RXN:0001315,fallback_equation,,s_0794 + s_0952 --> s_0418 + s_0456
reference_only,r_1873,MODEL_RXN:0001316,fallback_equation,,s_0956 --> 
reference_only,r_1874,MODEL_RXN:0001317,fallback_equation,,s_0957 --> s_0955
reference_only,r_1875,MODEL_RXN:0001318,fallback_equation,,s_0962 --> 
reference_only,r_1876,MODEL_RXN:0001319,fallback_equation,,s_0962 <=> s_0961
reference_only,r_1878,MODEL_RXN:0001321,fallback_equation,,s_0964 --> 
