model_reaction_id,reaction_name,model_equation,rxndb_id,rxndb_ec_number,enzyme_ec_numbers,pu_reference_likeness_score
rxn106,rxn106,s_0152 + s_0764 --> s_0775 + sn_235,rxn106,2.6.1.49,2.2.1.1|2.2.1.2|2.2.1.6,0.9980678730215888
rxn796,rxn796,sn_107 --> 2 s_0794 + s_4305,rxn796,2.4.1,5.4.2.11|5.4.2.2|5.4.2.3|5.4.2.8,0.9980669994697392
rxn2997,rxn2997,2 s_0794 + s_1212 + s_1275 + sn_40 --> s_0803 + s_1207 + sn_27,rxn2997,2.1.1,1.14.14.154|1.14.14.17,0.9980669196581542
rxn2366,rxn2366,s_0434 + s_0734 + s_0991 --> s_0423 + s_0633 + s_0794 + sn_194,rxn2366,2.6.1.30;2.6.1.54,6.3.2.1|6.3.2.12|6.3.2.17|6.3.2.2|6.3.2.3|6.3.2.5|6.3.2.6,0.9980651073806974
rxn671,rxn671,s_1275 + s_1321 + s_3874 --> sn_225 + sn_274,rxn671,,1.-.-.-|1.14.18.-|1.14.18.6|1.14.18.7|1.16.3.1,0.9980644620042897
rxn2001,rxn2001,s_1427 --> sn_39,rxn2001,2.1.1,,0.9980639628293705
rxn2319,rxn2319,s_0434 + s_1014 + s_1458 --> s_0423 + s_0633 + s_1241,rxn2319,2.1.1,6.3.2.1|6.3.2.12|6.3.2.17|6.3.2.2|6.3.2.3|6.3.2.5|6.3.2.6,0.9980627416164072
rxn719,rxn719,s_0689 + s_1275 + sn_151 --> s_0687 + s_0794 + s_0803 + sn_401,rxn719,3.1.3;3.1.3.2;3.1.3.25;3.1.3.31;3.1.3.48,1.14.14.154|1.14.14.17,0.9980621069841203
rxn107,rxn107,s_0764 + s_3997 --> s_0260 + s_0775,rxn107,2.6.1.49,2.2.1.1|2.2.1.2|2.2.1.6,0.9980589138535748
rxn940,rxn940,s_0180 + s_0794 + s_1203 + sn_265 --> s_0991 + s_1198 + s_4173,rxn940,3.1.1.23,1.4.1.4,0.9980582114602872
rxn2597,rxn2597,s_0794 + s_1212 + sn_321 --> s_0973 + s_1207,rxn2597,2.1.1.M17,1.4.1.4,0.998058191750577
rxn467,rxn467,s_0794 + s_1203 + s_1275 + s_2763 --> s_0803 + s_1198 + s_4331,rxn467,,1.14.11.-|1.14.13.-|1.14.13.9|1.14.14.-,0.9980575483869066
rxn3001,rxn3001,s_0803 + s_1275 + s_1439 --> s_0274 + s_0837 + s_1526,rxn3001,2.1.1,1.5.3.17,0.9980530623012739
rxn359,rxn359,s_1203 + s_1275 + sn_365 --> s_0803 + s_1198 + s_2829,rxn359,,1.14.11.-|1.14.13.-|1.14.13.9|1.14.14.-,0.9980529771581841
rxn2098,rxn2098,s_0794 + s_1122 + s_1212 + s_1275 --> s_0803 + s_1134 + s_1207,rxn2098,2.6.1,1.14.11.-|1.14.13.-|1.14.13.9|1.14.14.-,0.998052884384397
rxn2416,rxn2416,s_0689 + s_1275 + sn_208 --> s_0687 + s_0794 + s_0803 + sn_78,rxn2416,2.1.1.8,1.14.14.154|1.14.14.17,0.998052159000554
rxn1231,rxn1231,s_0689 + s_1275 + sn_239 --> s_0687 + s_0794 + s_0803 + sn_1,rxn1231,2.4.1.10,1.14.14.154|1.14.14.17,0.9980513002658141
rxn2093,rxn2093,s_0794 + s_1125 + s_1212 + s_1275 --> s_0803 + s_1137 + s_1207,rxn2093,2.6.1.-;2.6.1.27,1.14.11.-|1.14.13.-|1.14.13.9|1.14.14.-,0.9980487634224108
rxn2121,rxn2121,s_0803 + s_1275 + s_1526 --> s_0208 + s_0419 + s_0837,rxn2121,3.1.3.63,1.4.3.5|1.5.3.17,0.9980463889961103
