model_metabolite_id,primary_name,formula,charge,structure,structure_status,reason_code,status,source,review
s_1050,L-tryptophan,C11H12N2O2,0,NC(Cc1c[nH]c2ccccc12)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1051,L-tyrosine,C9H11NO3,0,NC(Cc1ccc(O)cc1)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1052,L-tyrosine,C9H11NO3,0,NC(Cc1ccc(O)cc1)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1053,L-tyrosine,C9H11NO3,0,NC(Cc1ccc(O)cc1)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1054,L-tyrosine,C9H11NO3,0,NC(Cc1ccc(O)cc1)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1055,L-tyrosine,C9H11NO3,0,NC(Cc1ccc(O)cc1)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1056,L-valine,C5H11NO2,0,CC(C)C(N)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1057,L-valine,C5H11NO2,0,CC(C)C(N)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1058,L-valine,C5H11NO2,0,CC(C)C(N)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1059,lanosterol,C30H50O,0,CC(C)=CCCC(C)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(O)C(C)(C)C1CC3,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1061,lanosterol,C30H50O,0,CC(C)=CCCC(C)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(O)C(C)(C)C1CC3,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1065,laurate,C12H23O2,-1,CCCCCCCCCCCC(=O)[O-],parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1067,laurate,C12H23O2,-1,CCCCCCCCCCCC(=O)[O-],parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1070,laurate,C12H23O2,-1,CCCCCCCCCCCC(=O)[O-],parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1073,lauroyl-CoA,C33H54N7O17P3S,-4,CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
