model_reaction_id,reaction_name,mass_balance_status,charge_balance_status,missing_formula_status,structure_parse_status,external_mapping_status,manual_review_status,missing_formula_metabolites,unparsable_formula_metabolites
r_1147,ergosterol transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1148,ergosterol transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1149,ethanolamine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1151,fadH2 transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1161,fecosterol transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1162,fecosterol transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1164,folic acid transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1165,GDP-mannose antiport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1166,glucose transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1167,glutathione transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1168,glutathione transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1169,glycero-3-phospho-1-inositol transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1170,glycero-3-phosphocholine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1171,glycerol transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1172,glycerol transport via channel,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1173,glycine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1174,glycogen vacuolar 'transport' via autophagy,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1175,GTP/GDP translocase,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1176,guanine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1177,inositol transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1178,iron (II) transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1179,iron (II) transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1180,isoamyl acetate transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1181,isobutyl acetate transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1182,isopentenyl diphosphate transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1183,L-alanine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1184,L-arganine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1185,L-arganine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1186,L-asparagine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1187,L-asparagine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1188,L-aspartate transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1189,L-aspartate transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1190,L-aspartate transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1191,L-carnitine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1192,L-cystine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1193,L-cystine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1194,L-glutamate transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1195,L-glutamate transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1196,L-glutamate transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1197,L-glutamine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1198,L-glutamine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1199,L-glutamine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1200,"L-histidine transport, vacuolar",balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1201,L-histidine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1202,L-isoleucine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1203,L-isoleucine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
